Job Title,Description,Salary Range,Qualifications,Responsibilities
.NET Developer,Develops software applications and solutions using the .NET framework.,60k - 120k USD,Proficiency in .NET development, Strong problem-solving skills & Knowledge of software development best practices & Develop and maintain software applications using the .NET framework & Collaborate with team members to design and implement solutions & Conduct testing and debugging to ensure software quality
AI Developer,Designs and implements artificial intelligence algorithms and systems.,70k - 150k USD,Strong programming skills (Python & Java & etc.) & Knowledge of machine learning algorithms and techniques & Familiarity with AI development tools and libraries , Develop AI algorithms and systems for various applications & Conduct research and experimentation to improve AI models & Collaborate with cross-functional teams to integrate AI solutions
AR Developer,Creates augmented reality applications and experiences.,65k - 130k USD,Experience with AR development tools and platforms (Unity & ARKit & etc.) & Proficiency in programming languages (C# & C++ & etc.) & Knowledge of 3D modeling and rendering, Develop AR applications and experiences for different platforms & Collaborate with designers and artists to create immersive AR experiences & Test and optimize AR applications for performance and usability
Academic,Engages in scholarly research & teaching & and academic activities within a specific field.,40k - 100k USD,Advanced degree (Ph.D.& M.D.& etc.) in a relevant field & Strong research and analytical skills & Excellent written and verbal communication skills, Conduct research and publish scholarly articles in academic journals & Teach courses and mentor students in academic settings & Participate in conferences and academic events
Adaptable Professional,Demonstrates flexibility and versatility in various professional environments and situations.,50k - 110k USD,Adaptability and flexibility in changing environments & Strong communication and interpersonal skills & Ability to learn quickly and solve problems efficiently & Work in diverse professional settings and roles, Adapt to new challenges and tasks effectively & Collaborate with teams and stakeholders to achieve objectives
Agile Practitioner,Implements Agile methodologies and practices to manage and deliver projects efficiently.,60k - 130k USD,Certification in Agile methodologies (Scrum & Kanban & etc.) & Experience in Agile project management & Strong leadership and communication skills, Implement Agile practices and processes in project management & Facilitate Agile meetings and ceremonies & Coach and mentor team members on Agile principles
Analyst,Analyzes data & processes & or systems to provide insights and recommendations for improvement.,50k - 120k USD,Analytical and critical thinking skills & Proficiency in data analysis tools (Excel & SQL & etc.) & Strong attention to detail, Analyze data and information to identify trends and patterns & Generate reports and presentations to communicate insights & Provide recommendations for process improvement and optimization
Android Developer,Builds applications for the Android operating system using Java or Kotlin.,60k - 130k USD,Proficiency in Java or Kotlin programming & Experience with Android development tools and frameworks & Strong problem-solving and debugging skills, Develop and maintain Android applications & Collaborate with designers and backend developers to integrate features & Test and optimize applications for performance and usability
Automation Engineer,Designs & develops & and maintains automated processes or systems.,65k - 140k USD,Experience in automation tools and frameworks (Selenium & Jenkins & etc.) & Proficiency in scripting languages (Python & Bash & etc.) & Strong problem-solving and troubleshooting skills, Design and implement automated processes and systems & Develop scripts and tools for automation tasks & Monitor and maintain automated systems for reliability and performance
Backend Developer,Develops the server-side logic and databases for web and mobile applications.,60k - 120k USD,Proficiency in backend development languages (Java & Python & etc.) & Experience with server-side frameworks and technologies & Strong database design and optimization skills, Develop and maintain backend logic and databases & Collaborate with frontend developers to integrate features & Optimize server-side performance and scalability
Big Data Engineer,Designs and manages systems for storing & processing & and analyzing large datasets.,70k - 140k USD,Experience with big data technologies (Hadoop & Spark & etc.)& Proficiency in programming languages (Java & Scala & etc.) & Strong database and SQL skills, Design and implement big data systems and architectures & Develop data pipelines and ETL processes & Analyze and optimize data storage and processing
Bioinformatician,Applies computational techniques to analyze and interpret biological data.,70k - 130k USD,Background in biology & bioinformatics & or related field& Proficiency in programming and data analysis tools & Strong analytical and problem-solving skills, Analyze biological data using computational techniques & Develop algorithms and models for data interpretation & Collaborate with biologists and researchers on data analysis projects
Bioinformatics Scientist,Conducts research and develops algorithms to analyze biological data.,80k - 150k USD,Ph.D. or equivalent experience in bioinformatics or related field & Expertise in computational biology and data analysis & Strong programming skills (Python & R & etc.), Conduct research in bioinformatics and computational biology & Develop algorithms and models for biological data analysis & Publish research findings in scientific journals
Blockchain Developer,Develops decentralized applications and smart contracts using blockchain technology.,70k - 140k USD,Experience in blockchain development (Ethereum & Solidity & etc.) & Proficiency in programming languages (JavaScript & Python & etc.) & Strong understanding of blockchain principles and technologies, Develop decentralized applications (dApps) and smart contracts & Test and deploy blockchain solutions & Collaborate with blockchain developers and architects
Blockchain Engineer,Designs & develops & and maintains blockchain-based systems and applications.,80k - 150k USD,Expertise in blockchain development and protocols & Strong programming and cryptography skills & Experience with blockchain frameworks and tools, Design and implement blockchain-based systems and applications & Test and optimize blockchain solutions & Collaborate with stakeholders to integrate blockchain technology
Business Analyst,Analyzes business processes and requirements to recommend solutions for improvement.,55k - 120k USD,Experience in business analysis and process improvement & Strong analytical and problem-solving skills & Excellent communication and stakeholder management skills, Analyze business processes and requirements & Identify areas for improvement and optimization & Recommend solutions and strategies for business enhancement
Business Developer,Identifies and pursues business opportunities to drive growth and expansion.,60k - 130k USD,Experience in business development and sales & Strong negotiation and relationship-building skills & Analytical and strategic thinking abilities, Identify and evaluate business opportunities  & Develop and implement strategies for business growth & Build and maintain relationships with clients and partners
C Developer,Develops software applications using the C programming language.,55k - 120k USD,Proficiency in C programming & Strong understanding of system-level programming & Debugging and problem-solving skills, Develop and maintain software applications using C & Collaborate with team members on project requirements & Test and optimize code for performance and reliability
C# Developer,Builds software applications using the C# programming language and .NET framework.,60k - 130k USD,Proficiency in C# programming and .NET development & Experience with software development lifecycle (SDLC) processes & Strong problem-solving and debugging skills, Develop and maintain C#/.NET applications & Collaborate with frontend and backend developers & Test and optimize applications for usability and performance
C++ Developer,Develops software applications using the C++ programming language.,65k - 140k USD,Proficiency in C++ programming & Strong understanding of object-oriented programming (OOP) concepts & Debugging and memory management skills , Develop and maintain software applications using C++ & Collaborate with team members on software design & Test and optimize code for performance and reliability
